"","Player's Name","State","Total Points","Pre Rating","Avg Pre Rating"
"1","DAKSHESH DARURI ","ON ","6.0","1794",1605
"2","ADITYA BAJAJ ","MI ","6.0","1553",1469
"3","PATRICK H SCHILLING ","MI ","6.0","1384",1564
"4","HANSHI ZUO ","MI ","5.5","1716",1574
"5","HANSEN SONG ","MI ","5.5","1655",1501
"6","GARY DEE SWATHELL ","OH ","5.0","1686",1519
"7","EZEKIEL HOUGHTON ","MI ","5.0","1649",1372
"8","STEFANO LEE ","MI ","5.0","1641",1468
"9","ANVIT RAO ","ON ","5.0","1411",1523
"10","CAMERON WILLIAM MC LEMAN ","MI ","5.0","1365",1554
"11","KENNETH J TACK ","MI ","4.5","1712",1468
"12","TORRANCE HENRY JR ","MI ","4.5","1663",1506
"13","BRADLEY SHAW ","MI ","4.5","1666",1498
"14","ZACHARY JAMES HOUGHTON ","MI ","4.5","1610",1515
"15","MIKE NIKITIN ","MI ","4.5","1220",1484
"16","RONALD GRZEGORCZYK ","MI ","4.0","1604",1386
"17","DAVID SUNDEEN ","MI ","4.0","1629",1499
"18","DIPANKAR ROY ","MI ","4.0","1600",1480
"19","JASON ZHENG ","MI ","4.0","1564",1426
"20","DINH DANG BUI ","MI ","4.0","1595",1411
"21","EUGENE L MCCLURE ","ON ","4.0","1563",1470
"22","ALAN BUI ","MI ","4.0","1555",1300
"23","MICHAEL R ALDRICH ","ON ","4.0","1363",1214
"24","LOREN SCHWIEBERT ","MI ","4.0","1229",1357
"25","MAX ZHU ","MI ","3.5","1745",1363
"26","GAURAV GIDWANI ","ON ","3.5","1579",1507
"27","SOFIA ADINA STANESCUBELLU ","MI ","3.5","1552",1222
"28","CHIEDOZIE OKORIE ","MI ","3.5","1507",1522
"29","GEORGE AVERY JONES ","MI ","3.5","1602",1314
"30","RISHI SHETTY ","ON ","3.5","1522",1144
"31","JOSHUA PHILIP MATHEWS ","MI ","3.5","1494",1260
"32","JADE GE ","ON ","3.5","1441",1379
"33","MICHAEL JEFFERY THOMAS ","MI ","3.5","1449",1277
"34","JOSHUA DAVID LEE ","MI ","3.5","1399",1375
"35","SIDDHARTH JHA ","MI ","3.5","1438",1150
"36","AMIYATOSH PWNANANDAM ","MI ","3.5","1355",1388
"37","BRIAN LIU ","MI ","3.5","980",1385
"38","JOEL R HENDON ","MI ","3.0","1423",1539
"39","FOREST ZHANG ","MI ","3.0","1436",1430
"40","KYLE WILLIAM MURPHY ","MI ","3.0","1348",1391
"41","JARED GE ","MI ","3.0","1403",1248
"42","ROBERT GLEN VASEY ","MI ","3.0","1332",1150
"43","JUSTIN D SCHILLING ","MI ","3.0","1283",1107
"44","DEREK YAN ","MI ","3.0","1199",1327
"45","JACOB ALEXANDER LAVALLEY ","MI ","3.0","1242",1152
"46","ERIC WRIGHT ","MI ","3.0","377",1358
"47","DANIEL KHAIN ","MI ","2.5","1362",1392
"48","MICHAEL J MARTIN ","MI ","2.5","1382",1356
"49","SHIVAM JHA ","MI ","2.5","1291",1286
"50","TEJAS AYYAGARI ","MI ","2.5","1056",1296
"51","ETHAN GUO ","MI ","2.5","1011",1356
"52","JOSE C YBARRA ","MI ","2.5","935",1495
"53","LARRY HODGE ","MI ","2.0","1393",1345
"54","ALEX KONG ","MI ","2.0","1270",1206
"55","MARISA RICCI ","MI ","2.0","1186",1406
"56","MICHAEL LU ","MI ","2.0","1153",1414
"57","VIRAJ MOHILE ","MI ","2.0","1092",1363
"58","SEAN M MC CORMICK ","MI ","2.0","917",1391
"59","JULIA SHEN ","MI ","2.0","853",1319
"60","JEZZEL FARKAS ","MI ","1.5","967",1330
"61","ASHWIN BALAJI ","ON ","1.5","955",1327
"62","THOMAS JOSEPH HOSMER ","MI ","1.0","1530",1186
"63","BEN LI ","MI ","1.0","1175",1350
"64",NA,"MI ","1.0","1163",1263
